OrderID;Bestelldatum;Lieferdatum;CustomerID;ProductID;SalesRepID;Menge;Einzelpreis;Rabatt;Status;Kanal
O00026;23.06.2023;2023-06-27;K0314;P0034;SR007;10;314.97;0.0;Abgeschlossen;Telefon
O00027;2023-01-04;2023-01-14;K0206;P0036;SR020;2;170.24;0.0;Abgeschlossen;Online
O00028;2022-01-20;2022-01-23;K0075;P0020;SR018;1;148.57;0.05;Abgeschlossen;Online
O00029;2022-07-22;2022-08-03;K0291;P0007;SR016;1;1884.53;0.1;Abgeschlossen;Außendienst
O00030;2022-02-10;2022-02-17;K0286;P0033;SR012;3;1222.08;0.0;Abgeschlossen;Telefon
O00031;2024-07-04;2024-07-06;K0182;P0042;SR018;1;1002.99;0.0;Abgeschlossen;Außendienst
O00032;12/06/2022;2022-06-15;K0293;P0052;SR003;1;982.8;0.05;Abgeschlossen;Online
O00033;2024-04-27;2024-04-30;K0186;P0076;SR016;1;2556.94;0.05;Storniert;Außendienst
O00034;2024-08-27;;K0053;P0013;SR005;3;200.43;0.2;Abgeschlossen;Telefon
O00035;22/05/2023;2023-06-03;K0200;P0040;SR009;2;261.97;0.1;Abgeschlossen;Außendienst
O00036;2024-06-30;2024-07-03;K0244;P0060;SR011;2;95.31;0.05;Abgeschlossen;Telefon
O00037;2023-12-13;2023-12-21;K0328;P0069;SR012;3;64.57;0.0;Abgeschlossen;Online
O00038;2024-08-18;;K0070;P0045;SR014;5;282.07;0.0;Abgeschlossen;Telefon
O00039;2023-01-22;2023-01-29;K0004;P0071;SR015;1;599,57;0.05;Abgeschlossen;Außendienst
O00040;2023-08-07;2023-08-18;K0321;P0031;SR013;3;83.27;0.1;Abgeschlossen;Online
O00041;20.01.2023;;K0140;P0080;SR019;1;512.74;0.0;Abgeschlossen;Online
O00042;2022-01-31;2022-02-08;K0120;P0012;SR006;1;992.05;0.0;Abgeschlossen;Außendienst
O00043;2023-06-30;2023-07-13;K0385;P0019;SR001;2;1632.32;0.15;Abgeschlossen;Online
O00044;2024-06-26;2024-06-30;K0366;P0032;SR019;1;601.62;0.1;Abgeschlossen;Partner
O00045;28/03/2022;2022-04-09;K0160;P0042;SR007;2;965.53;0.05;Abgeschlossen;Partner
O00046;27.10.2023;2023-10-28;K0058;P0031;SR020;1;80.81;0.1;Abgeschlossen;Online
O00047;2022-07-03;2022-07-07;K0306;P0020;SR015;1;144.65;0.15;Zurückgestellt;Telefon
O00048;2022-09-15;2022-09-23;K0360;P0069;SR005;10;66.82;0.1;In Bearbeitung;Telefon
O00049;2022-03-22;2022-03-30;K0184;P0018;SR011;2;229.98;0.0;Abgeschlossen;Telefon
O00050;2022-05-22;2022-05-31;K0307;P0071;SR006;1;600.4;0.0;Abgeschlossen;Telefon
O00051;2023-05-05;2023-05-11;K0010;P0080;SR011;2;512.94;0.0;Abgeschlossen;Telefon
O00052;2022-08-15;2022-08-17;K0166;P0053;SR015;1;712.08;0.0;Storniert;Online
O00053;30/09/2024;2024-10-09;K0293;P0083;SR018;2;391.03;0.0;In Bearbeitung;Online
O00054;2024-01-10;2024-01-19;K0041;P0060;SR002;5;101.66;0.1;Abgeschlossen;Telefon
O00055;29/11/2024;2024-12-01;K0156;P0010;SR009;1;967.27;0.0;Abgeschlossen;Telefon
O00056;2024-01-04;2024-01-15;K0286;P0054;SR002;2;293.82;0.0;Abgeschlossen;Telefon
O00057;2023-10-08;2023-10-17;K0308;P0057;SR014;1;30.1;0.1;Abgeschlossen;Außendienst
O00058;01/08/2024;2024-01-16;K0110;P0049;SR012;1;838.55;0.2;Abgeschlossen;Telefon
O00059;2023-10-07;2023-10-08;K0154;P0029;SR009;5;1866.78;0.15;Abgeschlossen;Telefon
O00060;11/10/2022;2022-10-16;K0236;P0046;SR008;2;2303.79;0.1;Abgeschlossen;Online
O00061;21.12.2022;2022-12-29;K0371;P0042;SR019;2;997.5;0.15;Abgeschlossen;Online
O00062;14/12/2023;2023-12-28;K0041;P0008;SR012;5;2969.85;0.1;In Bearbeitung;Außendienst
O00063;17.09.2023;;K0324;P0049;SR004;2;791.26;0.0;Abgeschlossen;Online
O00064;2023-03-31;2023-04-07;K0229;P0077;SR003;1;416.58;0.0;Abgeschlossen;Online
O00065;2022-10-04;2022-10-12;K0257;P0056;SR006;1;160,9;0.0;Abgeschlossen;Außendienst
O00066;2022-07-03;2022-07-05;K0398;P0056;SR014;1;156.09;0.0;Abgeschlossen;Online
O00067;21.06.2024;2024-06-22;K0316;P0057;SR006;1;31.06;0.0;In Bearbeitung;Online
O00068;2022-01-29;2022-02-04;K0318;P0019;SR015;1;1677.58;0.0;Abgeschlossen;Telefon
O00069;2022-10-17;2022-10-29;K0133;P0071;SR018;1;620.05;0.05;Abgeschlossen;Online
O00070;2024-08-10;2024-08-21;K0317;P0035;SR002;1;1012.99;0.05;Storniert;Online
O00071;2024-02-19;2024-02-28;K0333;P0050;SR010;1;848.54;0.1;Abgeschlossen;Online
O00072;2023-05-22;2023-05-31;K0365;P0003;SR003;1;151.61;0.0;Abgeschlossen;Online
O00073;12/06/2023;2023-06-19;K0257;P0036;SR001;3;166.76;0.05;Abgeschlossen;Online
O00074;2024-05-04;2024-05-08;K0045;P0049;SR008;1;804.61;0.05;Abgeschlossen;Online
O00075;25/09/2023;2023-10-07;K0351;P0026;SR006;2;87.63;0.2;Zurückgestellt;Online
O00076;2023-01-13;2023-01-19;K0163;P0009;SR001;1;3161.88;0.0;Zurückgestellt;Partner
O00077;2023-01-20;2023-01-22;K0327;P0036;SR010;1;183.49;0.05;Abgeschlossen;Telefon
O00078;2024-09-03;2024-09-06;K0014;P0046;SR005;2;2417.17;0.0;Storniert;Telefon
O00079;2023-07-07;2023-07-14;K0017;P0053;SR001;2;668.52;0.0;Abgeschlossen;Partner
O00080;21.05.2023;2023-05-28;K0353;P0042;SR019;1;1013.25;0.0;Abgeschlossen;Telefon
O00081;02.12.2024;2024-12-04;K0269;P0083;SR003;3;390.75;0.2;Abgeschlossen;Online
O00082;24/01/2023;2023-01-29;K0265;P0081;SR005;5;945.18;0.0;Abgeschlossen;Online
O00083;2022-07-05;2022-07-17;K0073;P0060;SR019;1;99,33;0.15;Abgeschlossen;Online
O00084;2024-07-20;2024-07-22;K0233;P0076;SR009;2;2601.79;0.1;In Bearbeitung;Online
O00085;2024-11-13;2024-11-23;K0186;P0011;SR016;1;169.94;0.1;Storniert;Telefon
O00086;2024-05-09;2024-05-14;K0075;P0023;SR003;3;35.81;0.05;Abgeschlossen;Online
O00087;2024-10-16;2024-10-30;K0130;P0002;SR019;3;1550.56;0.0;Abgeschlossen;Außendienst
O00088;2023-05-17;2023-05-26;K0308;P0077;SR004;2;446.33;0.0;Abgeschlossen;Online
O00089;2023-11-10;;K0017;P0074;SR011;1;698.28;0.05;Abgeschlossen;Außendienst
O00090;2022-03-15;2022-03-17;K0091;P0059;SR014;1;348.31;0.1;In Bearbeitung;Außendienst
O00091;12/15/2024;2024-12-22;K0063;P0036;SR011;2;176.95;0.0;In Bearbeitung;Telefon
O00092;2024-05-24;2024-06-03;K0353;P0078;SR014;1;2099.66;0.05;Storniert;Telefon
O00093;2023-04-22;2023-05-04;K0255;P0064;SR008;1;643.45;0.0;In Bearbeitung;Außendienst
O00094;2023-11-15;2023-11-21;K0213;P0053;SR003;2;655.32;0.0;Abgeschlossen;Außendienst
O00095;14/11/2023;2023-11-20;K0166;P0001;SR005;2;797.06;0.1;Abgeschlossen;Außendienst
O00096;13.09.2024;2024-09-16;K0243;P0005;SR007;5;144.52;0.0;In Bearbeitung;Telefon
O00097;08.02.2022;2022-02-12;K0154;P0073;SR014;1;264.56;0.1;Abgeschlossen;Online
O00098;2024-03-08;2024-03-11;K0193;P0081;SR007;3;943.14;0.05;Abgeschlossen;Online
O00099;2023-09-12;2023-09-16;K0122;P0048;SR017;1;1213.49;0.0;Abgeschlossen;Online
O00100;28/11/2023;2023-12-06;K0257;P0020;SR006;2;146.89;0.0;Storniert;Außendienst
O00101;2024-07-29;2024-08-05;K0068;P0027;SR001;2;706.11;0.15;Abgeschlossen;Telefon
O00102;16.02.2022;2022-02-26;K0024;P0014;SR011;2;1212.26;0.0;Abgeschlossen;Telefon
O00103;2023-07-15;;K0140;P0020;SR009;2;143.15;0.0;Abgeschlossen;Online
O00104;2022-12-17;2022-12-19;K0146;P0074;SR006;5;724.42;0.0;Abgeschlossen;Partner
O00105;02.01.2023;2023-01-14;K0045;P0055;SR018;2;117.82;0.05;Abgeschlossen;Online
O00106;11.08.2024;2024-08-21;K0344;P0069;SR002;3;67.68;0.0;Abgeschlossen;Außendienst
O00107;2023-06-13;2023-06-19;K0119;P0029;SR010;2;1838.36;0.1;Storniert;Telefon
O00108;2022-12-16;2022-12-21;K0180;P0062;SR018;2;230.09;0.0;In Bearbeitung;Außendienst
O00109;31.03.2024;2024-04-10;K0155;P0069;SR018;2;65.26;0.2;Abgeschlossen;Online
O00110;2023-04-29;2023-05-02;K0223;P0073;SR012;1;264.93;0.05;Abgeschlossen;Telefon
O00111;2024-04-11;2024-04-13;K0228;P0023;SR013;2;36.35;0.1;Abgeschlossen;Telefon
O00112;2022-10-28;2022-11-08;K0072;P0075;SR001;2;106.31;0.05;Abgeschlossen;Außendienst
O00113;07/12/2023;2023-12-09;K0348;P0039;SR019;2;218.72;0.1;Storniert;Online
O00114;2022-08-13;2022-08-27;K0001;P0072;SR011;1;2610.01;0.05;Abgeschlossen;Außendienst
O00115;2024-08-30;2024-09-02;K0109;P0085;SR010;1;792.26;0.1;Abgeschlossen;Partner
O00116;22/10/2022;2022-11-03;K0037;P0083;SR003;2;428.94;0.0;Abgeschlossen;Außendienst
O00117;2023-01-04;2023-01-12;K0357;P0078;SR017;2;2073.59;0.0;Abgeschlossen;Telefon
O00118;04/21/2024;2024-04-30;K0122;P0065;SR012;1;2530.39;0.0;Abgeschlossen;Telefon
O00119;2024-08-10;2024-08-19;K0374;P0068;SR013;5;254.09;0.0;In Bearbeitung;Partner
O00120;12/05/2023;2023-12-14;K0297;P0040;SR001;1;272.34;0.0;In Bearbeitung;Telefon
O00121;2023-09-15;2023-09-27;K0149;P0022;SR002;1;136.74;0.05;Abgeschlossen;Außendienst
O00122;2022-06-18;2022-06-21;K0014;P0037;SR020;3;455.64;0.0;Abgeschlossen;Partner
O00123;2024-07-03;2024-07-09;K0090;P0076;SR007;1;2550.19;0.0;In Bearbeitung;Partner
O00124;12.10.2024;2024-10-25;K0075;P0077;SR008;3;421.16;0.0;Abgeschlossen;Online
O00125;2022-04-18;2022-04-21;K0329;P0034;SR001;1;319.23;0.15;Storniert;Online
O00126;25/01/2022;2022-01-30;K0135;P0019;SR020;1;1716.09;0.2;Abgeschlossen;Online
O00127;18.11.2023;2023-11-23;K0222;P0079;SR012;1;1132.16;0.0;In Bearbeitung;Außendienst
O00128;2023-01-04;2023-01-10;K0100;P0067;SR011;2;199.91;0.0;Abgeschlossen;Online
O00129;2022-03-11;2022-03-12;K0146;P0033;SR006;1;1178.99;0.15;Abgeschlossen;Telefon
O00130;2024-02-09;2024-02-20;K0045;P0078;SR008;2;2147.19;0.0;Abgeschlossen;Online
O00131;21.07.2023;2023-08-03;K0039;P0082;SR018;5;57.46;0.0;Abgeschlossen;Online
O00132;2023-06-27;2023-06-30;K0171;P0008;SR012;1;3219.29;0.05;Abgeschlossen;Telefon
O00133;2024-06-23;2024-07-05;K0112;P0079;SR005;1;1067.05;0.05;In Bearbeitung;Online
O00134;2023-06-30;2023-07-03;K0001;P0005;SR016;5;145.06;0.0;Storniert;Telefon
O00135;2022-01-07;2022-01-14;K0400;P0009;SR007;3;3312.05;0.05;Storniert;Online
O00136;2024-01-19;2024-01-28;K0324;P0083;SR004;1;423.46;0.1;Abgeschlossen;Online
O00137;2024-03-09;2024-03-11;K0339;P0025;SR015;1;1663.88;0.05;In Bearbeitung;Online
O00138;2024-03-07;2024-03-09;K0304;P0031;SR016;2;84.0;0.2;In Bearbeitung;Partner
O00139;2022-08-31;2022-09-04;K0173;P0006;SR019;2;1108.85;0.05;Storniert;Online
O00140;09/02/2022;2022-02-17;K0019;P0019;SR019;2;1642.62;0.05;Abgeschlossen;Telefon
O00141;2022-05-11;2022-05-25;K0050;P0059;SR008;1;338.17;0.05;Abgeschlossen;Online
O00142;2022-09-05;2022-09-16;K0378;P0052;SR015;1;1000.56;0.1;In Bearbeitung;Telefon
O00143;2024-01-28;2024-02-06;K0073;P0054;SR009;1;285.31;0.0;In Bearbeitung;Telefon
O00144;2022-01-15;2022-01-18;K0250;P0011;SR004;2;173.6;0.0;Abgeschlossen;Außendienst
O00145;12/07/2024;2024-12-15;K0074;P0082;SR013;5;56.57;0.0;Abgeschlossen;Telefon
O00146;2022-01-10;2022-01-19;K0155;P0045;SR018;1;270.82;0.0;Abgeschlossen;Außendienst
O00147;2023-07-21;2023-07-22;K0395;P0081;SR007;3;937,04;0.2;Abgeschlossen;Online
O00148;2023-03-06;2023-03-13;K0331;P0047;SR014;2;288.31;0.0;Abgeschlossen;Online
O00149;26.05.2022;2022-05-30;K0015;P0063;SR003;2;74.63;0.0;Abgeschlossen;Online
O00150;2023-02-14;2023-02-21;K0051;P0031;SR020;1;84.71;0.0;Abgeschlossen;Online
O00151;2023-02-02;2023-02-13;K0192;P0018;SR017;1;225.24;0.0;Abgeschlossen;Online
O00152;27/03/2023;2023-04-01;K0215;P0022;SR011;3;136.85;0.05;Abgeschlossen;Partner
O00153;2024-08-27;2024-09-10;K0268;P0063;SR010;1;75.4;0.15;Abgeschlossen;Telefon
O00154;05.05.2024;;K0077;P0074;SR004;1;740.87;0.0;Abgeschlossen;Telefon
O00155;06/20/2022;2022-06-29;K0232;P0064;SR007;2;662,74;0.0;Abgeschlossen;Online
O00156;2024-07-29;2024-08-12;K0343;P0040;SR008;2;284.96;0.0;Abgeschlossen;Außendienst
O00157;2022-05-25;2022-06-01;K0321;P0060;SR003;1;93.89;0.0;Abgeschlossen;Partner
O00158;2022-04-23;2022-05-02;K0351;P0011;SR011;2;178.66;0.0;Abgeschlossen;Telefon
O00159;2022-10-11;2022-10-17;K0287;P0009;SR010;1;3310.86;0.15;Abgeschlossen;Partner
O00160;2023-07-02;2023-07-11;K0116;P0042;SR012;1;946.73;0.0;Abgeschlossen;Telefon
O00161;14/07/2024;2024-07-24;K0348;P0069;SR014;2;66.2;0.2;Storniert;Online
O00162;2022-06-07;2022-06-09;K0201;P0023;SR012;1;34.73;0.0;Abgeschlossen;Partner
O00163;28.08.2024;2024-09-03;K0350;P0070;SR006;2;138.01;0.0;Abgeschlossen;Außendienst
O00164;31.10.2023;2023-11-08;K0172;P0053;SR012;2;712.55;0.0;Abgeschlossen;Online
O00165;01.02.2024;2024-02-06;K0134;P0030;SR018;1;33.5;0.0;Abgeschlossen;Partner
O00166;2023-05-03;;K0090;P0020;SR007;1;137.61;0.0;Abgeschlossen;Telefon
O00167;07/07/2024;2024-07-16;K0177;P0019;SR013;2;1622.18;0.0;Storniert;Außendienst
O00168;29.08.2023;2023-09-06;K0080;P0001;SR015;10;781.37;0.2;Abgeschlossen;Außendienst
O00169;2022-03-24;2022-03-27;K0174;P0015;SR017;1;284.79;0.05;Abgeschlossen;Online
O00170;2023-07-24;;K0100;P0075;SR006;2;106.9;0.05;Abgeschlossen;Telefon
O00171;01/10/2024;2024-01-17;K0310;P0066;SR003;3;919.8;0.0;Abgeschlossen;Online
O00172;01.05.2024;2024-05-14;K0045;P0028;SR018;1;603.45;0.15;In Bearbeitung;Telefon
O00173;2024-08-30;2024-09-13;K0074;P0027;SR013;1;775.13;0.05;Abgeschlossen;Online
O00174;2022-10-08;2022-10-12;K0090;P0072;SR017;1;2642.11;0.0;In Bearbeitung;Außendienst
O00175;2022-01-06;2022-01-09;K0238;P0029;SR002;10;1868.94;0.0;Abgeschlossen;Partner
O00176;2022-02-28;2022-03-02;K0353;P0083;SR009;1;428.76;0.05;Abgeschlossen;Telefon
O00177;2024-02-04;2024-02-13;K0352;P0061;SR003;1;386.96;0.05;Abgeschlossen;Telefon
O00178;09.05.2024;2024-05-20;K0028;P0035;SR013;1;976.05;0.0;Storniert;Telefon
O00179;2023-10-23;2023-11-06;K0049;P0077;SR006;3;445.46;0.0;Abgeschlossen;Online
O00180;2024-11-27;2024-12-02;K0074;P0002;SR008;1;1509.5;0.15;Abgeschlossen;Online
O00181;2024-05-04;2024-05-12;K0287;P0079;SR005;1;1073.83;0.0;Abgeschlossen;Außendienst
O00182;2022-12-19;2022-12-31;K0306;P0067;SR015;2;186.11;0.0;Abgeschlossen;Außendienst
O00183;2022-06-09;2022-06-10;K0041;P0055;SR002;3;108.78;0.0;In Bearbeitung;Telefon
O00184;2023-09-10;;K0130;P0006;SR004;1;1071,6;0.05;Abgeschlossen;Online
O00185;23.12.2023;2023-12-26;K0075;P0036;SR013;3;176.97;0.0;Abgeschlossen;Außendienst
O00186;2022-12-18;2022-12-31;K0367;P0025;SR015;10;1666.28;0.0;Abgeschlossen;Außendienst
O00187;2023-12-28;2024-01-04;K0226;P0014;SR010;2;1236.95;0.1;Abgeschlossen;Telefon
O00188;2022-06-18;2022-06-24;K0185;P0037;SR001;1;463.98;0.05;Abgeschlossen;Außendienst
O00189;2024-09-01;2024-09-12;K0220;P0025;SR005;1;1766.18;0.05;Abgeschlossen;Telefon
O00190;2022-12-12;2022-12-14;K0203;P0052;SR004;1;938.98;0.1;Abgeschlossen;Online
O00191;2024-03-30;2024-04-05;K0392;P0075;SR013;2;106.46;0.0;Abgeschlossen;Außendienst
O00192;2022-03-02;2022-03-04;K0255;P0030;SR008;3;33.99;0.0;Abgeschlossen;Telefon
O00193;30.11.2024;2024-12-13;K0320;P0013;SR003;1;195.82;0.0;Abgeschlossen;Telefon
O00194;01.09.2022;2022-09-08;K0010;P0005;SR016;3;143.16;0.0;Abgeschlossen;Außendienst
O00195;2022-10-03;2022-10-08;K0085;P0063;SR019;1;72.98;0.05;Abgeschlossen;Außendienst
O00196;2024-03-12;2024-03-17;K0081;P0065;SR001;10;2684,01;0.0;Zurückgestellt;Online
O00197;2023-11-30;2023-12-07;K0188;P0045;SR001;1;266.15;0.0;Abgeschlossen;Online
O00198;2022-08-23;2022-08-29;K0353;P0009;SR014;2;3164,5;0.05;Abgeschlossen;Telefon
O00199;2023-10-11;2023-10-18;K0241;P0076;SR004;1;2399.43;0.0;Abgeschlossen;Online
O00200;2023-09-06;2023-09-12;K0342;P0044;SR008;1;2107.66;0.2;Abgeschlossen;Partner
O00201;08.04.2023;2023-04-18;K0153;P0074;SR018;1;746.32;0.0;Abgeschlossen;Online
O00202;2023-09-11;2023-09-20;K0108;P0045;SR004;1;271.08;0.0;Abgeschlossen;Telefon
O00203;19/10/2024;2024-10-23;K0093;P0003;SR008;3;154.47;0.0;Abgeschlossen;Außendienst
O00204;2024-12-05;2024-12-09;K0290;P0081;SR001;1;887.84;0.05;Abgeschlossen;Telefon
O00205;2024-04-24;2024-04-29;K0033;P0082;SR010;2;54.59;0.05;Abgeschlossen;Online
O00206;2024-06-12;2024-06-19;K0159;P0060;SR020;1;95.14;0.0;Abgeschlossen;Außendienst
O00207;2022-04-24;2022-05-08;K0022;P0063;SR005;1;74.42;0.0;Zurückgestellt;Partner
O00208;2022-08-18;2022-08-28;K0204;P0018;SR010;5;229.5;0.1;Storniert;Partner
O00209;2023-10-04;2023-10-10;K0122;P0077;SR002;2;445.72;0.05;Storniert;Online
O00210;2023-06-05;2023-06-19;K0141;P0057;SR019;1;30.11;0.15;Abgeschlossen;Telefon
O00211;2024-01-24;2024-02-07;K0075;P0047;SR018;2;288.73;0.0;In Bearbeitung;Außendienst
O00212;2024-02-27;2024-03-03;K0344;P0031;SR012;2;87,39;0.05;Abgeschlossen;Online
O00213;04.07.2022;2022-07-18;K0202;P0033;SR011;1;1209.97;0.0;Abgeschlossen;Online
O00214;2024-10-03;2024-10-11;K0018;P0036;SR005;5;172.06;0.0;Storniert;Online
O00215;2023-11-01;2023-11-09;K0034;P0046;SR016;3;2400.45;0.0;Abgeschlossen;Telefon
O00216;2022-08-15;2022-08-18;K0157;P0041;SR003;2;95.49;0.05;Abgeschlossen;Telefon
O00217;18/06/2023;2023-06-21;K0232;P0062;SR007;3;246.15;0.0;Abgeschlossen;Online
O00218;2022-02-17;2022-02-26;K0293;P0029;SR003;2;1882.07;0.2;Abgeschlossen;Außendienst
O00219;02/11/2022;2022-11-04;K0220;P0077;SR015;1;435.4;0.0;Abgeschlossen;Außendienst
O00220;2023-02-21;2023-02-25;K0254;P0016;SR007;3;306.61;0.05;Abgeschlossen;Telefon
O00221;2023-01-05;2023-01-12;K0145;P0025;SR018;1;1818.6;0.0;Abgeschlossen;Online
O00222;2022-09-30;2022-10-14;K0044;P0002;SR019;2;1562.66;0.05;In Bearbeitung;Außendienst
O00223;2023-04-26;2023-05-04;K0031;P0007;SR011;10;2016.88;0.2;Abgeschlossen;Außendienst
O00224;19/03/2024;2024-03-30;K0318;P0049;SR015;10;824.87;0.05;Abgeschlossen;Telefon
O00225;22.12.2024;2024-12-29;K0068;P0012;SR011;1;920.52;0.0;Storniert;Außendienst
O00226;24/11/2024;2024-11-30;K0145;P0034;SR013;1;327.57;0.0;Zurückgestellt;Telefon
O00227;01/11/2022;2022-11-02;K0226;P0007;SR010;1;1885,68;0.05;Abgeschlossen;Partner
O00228;26.07.2024;2024-08-03;K0183;P0072;SR017;2;2535.46;0.0;Abgeschlossen;Online
O00229;2022-01-09;2022-01-18;K0140;P0073;SR009;1;264.67;0.0;Abgeschlossen;Online
O00230;2024-02-05;2024-02-15;K0349;P0016;SR020;1;308.41;0.0;Abgeschlossen;Außendienst
O00231;2023-11-06;2023-11-07;K0138;P0077;SR005;10;424.92;0.05;In Bearbeitung;Partner
O00232;10/24/2023;;K0025;P0083;SR015;1;427.99;0.0;Abgeschlossen;Online
O00233;2022-11-30;2022-12-07;K0046;P0003;SR008;1;151.73;0.05;Abgeschlossen;Telefon
O00234;2024-01-06;2024-01-17;K0159;P0078;SR010;1;2021.45;0.0;Abgeschlossen;Online
O00235;2024-06-08;2024-06-19;K0217;P0048;SR009;1;1209.5;0.0;Abgeschlossen;Außendienst
O00236;19.08.2023;2023-08-27;K0323;P0083;SR004;5;408.57;0.0;Abgeschlossen;Partner
O00237;2022-06-06;2022-06-07;K0152;P0073;SR004;2;251.78;0.0;In Bearbeitung;Außendienst
O00238;2022-08-22;2022-09-03;K0394;P0065;SR003;1;2568.68;0.0;Abgeschlossen;Partner
O00239;2023-12-01;2023-12-15;K0233;P0058;SR014;1;265,31;0.2;Abgeschlossen;Außendienst
O00240;2022-12-18;2022-12-29;K0203;P0015;SR004;2;310.03;0.2;Abgeschlossen;Telefon
O00241;2022-06-29;2022-07-02;K0185;P0051;SR011;1;883.55;0.05;Abgeschlossen;Online
O00242;2022-06-26;2022-07-01;K0124;P0056;SR006;1;157.25;0.0;Storniert;Außendienst
O00243;02/17/2023;2023-02-22;K0011;P0058;SR008;3;264.55;0.0;Abgeschlossen;Außendienst
O00244;2022-03-17;2022-03-25;K0378;P0075;SR015;2;109,9;0.15;Storniert;Partner
O00245;2022-05-11;2022-05-16;K0010;P0055;SR011;1;113,69;0.0;Storniert;Online
O00246;2023-12-06;2023-12-14;K0148;P0025;SR019;1;1806.96;0.0;Abgeschlossen;Außendienst
O00247;2024-01-08;2024-01-21;K0151;P0050;SR020;10;835.27;0.0;Abgeschlossen;Online
O00248;26/07/2022;2022-08-08;K0081;P0078;SR016;10;2043.08;0.0;Abgeschlossen;Online
O00249;2022-05-11;2022-05-17;K0082;P0023;SR004;2;34,63;0.0;Abgeschlossen;Online
O00250;2024-11-21;2024-12-01;K0286;P0035;SR007;2;1039.54;0.0;Abgeschlossen;Außendienst
O00251;2022-03-27;2022-04-05;K0313;P0079;SR005;2;1156.3;0.15;Abgeschlossen;Online
O00252;15.01.2024;2024-01-21;K0376;P0013;SR008;1;193.99;0.2;In Bearbeitung;Online
O00253;2022-06-24;2022-06-29;K0147;P0065;SR008;3;2616.02;0.05;Abgeschlossen;Außendienst
O00254;2024-07-28;2024-08-11;K0220;P0053;SR020;2;719,56;0.0;In Bearbeitung;Außendienst
O00255;2022-12-03;2022-12-10;K0174;P0041;SR017;3;94.49;0.05;Storniert;Online
O00256;08.05.2024;2024-05-15;K0339;P0067;SR015;2;200.72;0.05;Abgeschlossen;Online
O00257;02.07.2024;2024-07-13;K0313;P0019;SR020;2;1734.61;0.05;Abgeschlossen;Partner
O00258;2022-03-17;2022-03-26;K0102;P0039;SR002;2;223.73;0.0;Zurückgestellt;Online
O00259;2022-02-17;2022-02-18;K0267;P0044;SR007;2;2029.31;0.1;Abgeschlossen;Telefon
O00260;2022-09-11;2022-09-12;K0191;P0034;SR015;5;318.35;0.05;Abgeschlossen;Online
O00261;2023-12-19;2023-12-24;K0298;P0073;SR006;3;259.45;0.05;In Bearbeitung;Telefon
